"PORT","TONNAGETYPE","YEAR","TONNE"
"PORT DICKSON","IMPORT","2008",8810
"PORT DICKSON","TRANS-SHIPMENT","2008",0
"KEMAMAN","EXPORT","2008",1713
"KEMAMAN","IMPORT","2008",2200
"KEMAMAN","TRANS-SHIPMENT","2008",0
"TELUK EWA","EXPORT","2008",3379
"TELUK EWA","IMPORT","2008",744
"TELUK EWA","TRANS-SHIPMENT","2008",0
"TANJUNG PELEPAS","EXPORT","2008",3349
"TANJUNG PELEPAS","IMPORT","2008",1378
"TANJUNG PELEPAS","TRANS-SHIPMENT","2008",83212
"KELANG","EXPORT","2009",65262
"KELANG","IMPORT","2009",72353
"KELANG","TRANS-SHIPMENT","2009",0
"PULAU PINANG","EXPORT","2009",10531
"PULAU PINANG","IMPORT","2009",13251
"PULAU PINANG","TRANS-SHIPMENT","2009",496
"JOHOR","EXPORT","2009",11601
"JOHOR","IMPORT","2009",13633
"JOHOR","TRANS-SHIPMENT","2009",0
"KUANTAN","EXPORT","2009",6835
"KUANTAN","IMPORT","2009",3438
"KUANTAN","TRANS-SHIPMENT","2009",0
"BINTULU","EXPORT","2009",33302
"BINTULU","IMPORT","2009",3128
"BINTULU","TRANS-SHIPMENT","2009",2014
"TANJUNG BRUAS","EXPORT","2009",25
"TANJUNG BRUAS","IMPORT","2009",437
"TANJUNG BRUAS","TRANS-SHIPMENT","2009",0
"KUCHING","EXPORT","2009",1815
"KUCHING","IMPORT","2009",5077
"KUCHING","TRANS-SHIPMENT","2009",0
"MIRI","EXPORT","2009",5028
"MIRI","IMPORT","2009",605
"MIRI","TRANS-SHIPMENT","2009",0
"RAJANG","EXPORT","2009",3191
"RAJANG","IMPORT","2009",1546
"RAJANG","TRANS-SHIPMENT","2009",0
"SABAH","EXPORT","2009",14095
"SABAH","IMPORT","2009",10675
"SABAH","TRANS-SHIPMENT","2009",0
"PORT DICKSON","EXPORT","2009",3072
"PORT DICKSON","IMPORT","2009",10976
"PORT DICKSON","TRANS-SHIPMENT","2009",0
"KEMAMAN","EXPORT","2009",1834
"KEMAMAN","IMPORT","2009",1889
"KEMAMAN","TRANS-SHIPMENT","2009",0
"TELUK EWA","EXPORT","2009",3381
"TELUK EWA","IMPORT","2009",637
"TELUK EWA","TRANS-SHIPMENT","2009",0
"TANJUNG PELEPAS","EXPORT","2009",3322
"TANJUNG PELEPAS","IMPORT","2009",1312
"TANJUNG PELEPAS","TRANS-SHIPMENT","2009",85813
"KELANG","EXPORT","2010",78983
"KELANG","IMPORT","2010",91773
"KELANG","TRANS-SHIPMENT","2010",73
"PULAU PINANG","EXPORT","2010",12434
"PULAU PINANG","IMPORT","2010",15861
"PULAU PINANG","TRANS-SHIPMENT","2010",551
"JOHOR","EXPORT","2010",11585
"JOHOR","IMPORT","2010",16544
"JOHOR","TRANS-SHIPMENT","2010",0
"KUANTAN","EXPORT","2010",8050
"KUANTAN","IMPORT","2010",4030
"KUANTAN","TRANS-SHIPMENT","2010",0
"BINTULU","EXPORT","2010",34777
"BINTULU","IMPORT","2010",3854
"BINTULU","TRANS-SHIPMENT","2010",1995
"TANJUNG BRUAS","EXPORT","2010",37
"TANJUNG BRUAS","IMPORT","2010",414
"TANJUNG BRUAS","TRANS-SHIPMENT","2010",0
"KUCHING","EXPORT","2010",2144
"KUCHING","IMPORT","2010",6069
"KUCHING","TRANS-SHIPMENT","2010",0
"MIRI","EXPORT","2010",5410
"MIRI","IMPORT","2010",746
"MIRI","TRANS-SHIPMENT","2010",0
"RAJANG","EXPORT","2010",3506
"RAJANG","IMPORT","2010",1680
"RAJANG","TRANS-SHIPMENT","2010",0
"SABAH","EXPORT","2010",14963
"SABAH","IMPORT","2010",13426
"SABAH","TRANS-SHIPMENT","2010",0
"PORT DICKSON","EXPORT","2010",2372
"PORT DICKSON","IMPORT","2010",10285
"PORT DICKSON","TRANS-SHIPMENT","2010",0
"KEMAMAN","EXPORT","2010",1944
"KEMAMAN","IMPORT","2010",2364
"KEMAMAN","TRANS-SHIPMENT","2010",0
"TELUK EWA","EXPORT","2010",3223
"TELUK EWA","IMPORT","2010",729
"TELUK EWA","TRANS-SHIPMENT","2010",0
"TANJUNG PELEPAS","EXPORT","2010",3587
"TANJUNG PELEPAS","IMPORT","2010",1224
"TANJUNG PELEPAS","TRANS-SHIPMENT","2010",92845
"KELANG","EXPORT","2011",89517
"KELANG","IMPORT","2011",104651
"KELANG","TRANS-SHIPMENT","2011",0
"PULAU PINANG","EXPORT","2011",12870
"PULAU PINANG","IMPORT","2011",15899
"PULAU PINANG","TRANS-SHIPMENT","2011",620
"JOHOR","EXPORT","2011",11774
"JOHOR","IMPORT","2011",20900
"JOHOR","TRANS-SHIPMENT","2011",0
"KUANTAN","EXPORT","2011",11073
"KUANTAN","IMPORT","2011",4133
"KUANTAN","TRANS-SHIPMENT","2011",0
"BINTULU","EXPORT","2011",36138
"BINTULU","IMPORT","2011",4252
"BINTULU","TRANS-SHIPMENT","2011",1313
"TANJUNG BRUAS","EXPORT","2011",82
"TANJUNG BRUAS","IMPORT","2011",361
"TANJUNG BRUAS","TRANS-SHIPMENT","2011",0
"KUCHING","EXPORT","2011",2148
"KUCHING","IMPORT","2011",6532
"KUCHING","TRANS-SHIPMENT","2011",0
"MIRI","EXPORT","2011",4908
"MIRI","IMPORT","2011",865
"MIRI","TRANS-SHIPMENT","2011",0
"RAJANG","EXPORT","2011",3225
"RAJANG","IMPORT","2011",1825
"RAJANG","TRANS-SHIPMENT","2011",0
"SABAH","EXPORT","2011",14595
"SABAH","IMPORT","2011",13340
"SABAH","TRANS-SHIPMENT","2011",0
"PORT DICKSON","EXPORT","2011",2114
"PORT DICKSON","IMPORT","2011",11256
"PORT DICKSON","TRANS-SHIPMENT","2011",0
"KEMAMAN","EXPORT","2011",2062
"KEMAMAN","IMPORT","2011",1936
"KEMAMAN","TRANS-SHIPMENT","2011",0
"TELUK EWA","EXPORT","2011",3057
"TELUK EWA","IMPORT","2011",788
"TELUK EWA","TRANS-SHIPMENT","2011",0
"TANJUNG PELEPAS","EXPORT","2011",4727
"TANJUNG PELEPAS","IMPORT","2011",1259
"TANJUNG PELEPAS","TRANS-SHIPMENT","2011",106803
"KELANG","EXPORT","2012",90114
"KELANG","IMPORT","2012",105942
"KELANG","TRANS-SHIPMENT","2012",0
"PULAU PINANG","EXPORT","2012",12894
"PULAU PINANG","IMPORT","2012",15918
"PULAU PINANG","TRANS-SHIPMENT","2012",515
"JOHOR","EXPORT","2012",10494
"JOHOR","IMPORT","2012",15415
"JOHOR","TRANS-SHIPMENT","2012",0
"KUANTAN","EXPORT","2012",12021
"KUANTAN","IMPORT","2012",4043
"KUANTAN","TRANS-SHIPMENT","2012",0
"BINTULU","EXPORT","2012",35122
"BINTULU","IMPORT","2012",4883
"BINTULU","TRANS-SHIPMENT","2012",1136
"TANJUNG BRUAS","EXPORT","2012",115
"TANJUNG BRUAS","IMPORT","2012",304
"TANJUNG BRUAS","TRANS-SHIPMENT","2012",0
"KUCHING","EXPORT","2012",1875
"KUCHING","IMPORT","2012",7314
"KUCHING","TRANS-SHIPMENT","2012",0
"MIRI","EXPORT","2012",4823
"MIRI","IMPORT","2012",842
"MIRI","TRANS-SHIPMENT","2012",0
"RAJANG","EXPORT","2012",1649
